,symbol,display_symbol,name,aliases,shortname,last_price_usd,market_cap_rank,volume_rank,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_3Y_percent,price_change_5Y_percent,price_change_ALL_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,growth_all_time,ccu_slug,image_hash,market_cap_usd,categories
20,WBTC,WBTC,Wrapped Bitcoin,,wrapped-bitcoin,43509.0,19.0,71.0,-0.46,0.1,-0.13,-8.98,31.21,-23.75,313.14,1161.39,1161.39,1167.97,59.67,221771776.0,true,2019-01-31 11:35:00,206021.0,1632745847,,true,true,1970-01-01 00:00:00.940676000,wrapped-bitcoin,,8963698960.0,"[3, 15]"
21,ATOM,ATOM,Cosmos,,cosmos,38.37,20.0,22.0,-1.18,-1.69,1.5899999999999999,100.24,296.66,95.13,798.43,490.45,1212030.0,4896920.0,621.13,1559517952.0,true,2016-10-09 22:35:00,222023194.0,1632745846,2017-04-06 03:30:00,true,true,1970-01-01 01:23:25.120000000,cosmos,,8518386087.0,[2]
22,ICP,ICP,Internet Computer,,internet-computer,45.04,21.0,45.0,-0.89,1.69,-6.84,-24.05,24.79,-85.67,-85.67,-85.67,-85.67,-90.67,-85.67,391898432.0,true,2021-05-10 17:05:00,162890217.0,1632745846,2018-08-31 23:59:00,true,true,,internet-computer,,7336347327.0,[]
23,FTT2,FTT,FTX Token,,ftx-token,55.56,22.0,38.0,-1.04,-3.58,5.5,16.99,134.99,46.76,1453.37,3045.77,3045.77,3132.46,912.74,438389760.0,true,2019-08-01 09:25:00,120646904.0,1632745846,,true,true,1970-01-01 00:00:01.542450000,ftx-token,,6703612509.0,[6]
24,FIL,FIL,Filecoin,,filecoin,61.06,26.0,20.0,-1.3900000000000001,7.49,-17.4,-17.73,12.81,-52.92,61.5,61.5,61.5,98.71,181.49,1598260352.0,true,2020-10-15 14:45:00,109686375.0,1632745846,2017-08-10 23:59:00,true,true,1970-01-01 00:00:00.808298000,filecoin,,6696978406.0,[]
25,XLM,XLM,Stellar,,stellar,0.275700879801533,23.0,53.0,-0.8200000000000001,-0.98,-0.8,-20.48,10.03,-31.15,290.14,11.16,10564.4,8988.54,96.21,312089600.0,true,2014-08-05 05:50:00,23745076883.0,1632745847,,true,true,1970-01-01 00:00:32.099100000,stellar,,6546538588.0,[18]
26,DAI,DAI,Multi-Collateral Dai,,dai,0.999114145463267,24.0,69.0,-0.19,-0.77,0.25,-0.27,-0.27,-0.23,-1.07,-0.16,3.24,8.41,-0.19,250044608.0,true,2017-12-27 01:40:00,6458921378.0,1632745846,,true,true,,multi-collateral-dai,,6453199713.0,"[3, 4, 15]"
27,ETC,ETC,Ethereum Classic,,ethereum-classic,47.41,25.0,30.0,-0.73,-0.46,-3.1,-23.35,16.44,286.16,857.77,331.93,3807.43,6305.46,719.85,809261376.0,true,2016-07-24 13:50:00,130305315.0,1632745846,,true,true,1970-01-01 00:00:07.154760000,ethereum-classic,,6178231053.0,[1]
28,TRX,TRX,TRON,,tron,0.08892971693054001,29.0,29.0,-0.79,-0.14,-3.49,4.51,41.05,37.57,246.14,319.62,4869.18,4240.53,216.85,1132149888.0,true,2017-09-13 01:20:00,66671432938.0,1632745847,2017-09-02 23:59:00,true,true,1970-01-01 00:00:06.988630000,tron,,5929071659.0,"[2, 20]"
29,VET,VET,VeChain,,vechain-token,0.09064201496783801,27.0,64.0,-1.25,-0.99,-1.8599999999999999,-25.49,21.13,-0.34,646.48,616.49,322.34,406.13,372.8,242623952.0,true,2018-07-24 04:10:00,65241752869.0,1632745847,,true,true,1970-01-01 00:00:00.686576000,vechain-thor,,5913643940.0,[]
30,MATIC,MATIC,Polygon,,matic-network,1.119239052170754,30.0,35.0,-0.76,-1.65,-2.24,-23.15,3.77,210.37,5891.43,21668.9,21668.9,19134.3,5943.45,813221312.0,true,2019-04-26 15:35:00,4952830774.0,1632745846,2019-04-24 23:59:00,true,true,1970-01-01 00:00:06.208850000,matic-network,,5543401621.0,[15]
31,XTZ,XTZ,Tezos,,tezos,6.31,28.0,24.0,-1.6800000000000002,-9.47,18.23,36.15,146.71,42.04,201.33,318.68,211.36,278.16,207.97,945865344.0,true,2017-10-02 16:04:41,861099760.0,1632745847,2017-07-14 23:59:00,true,true,1970-01-01 00:00:01.804390000,tezos,,5431270046.0,"[2, 23]"
32,THETA,THETA,Theta Token,,theta-token,5.17,31.0,50.0,-1.34,0.11,-0.47000000000000003,-24.68,-22.1,-60.12,756.84,5982.93,2863.32,3320.0,249.06,299729216.0,true,2018-01-17 17:40:00,870502690.0,1632745847,2018-01-04 00:00:00,true,true,1970-01-01 00:00:01.140840000,theta,,4500814160.0,"[15, 17]"
33,XEC,XEC,eCash,,ecash,0.00023199823679700003,36.0,146.0,-1.37,9.34,12.94,197.97,55.94,55.94,55.94,55.94,55.94,773.69,55.94,150360016.0,true,2021-06-30 17:45:00,18854529673313.0,1632745847,,true,true,,ecash,,4374217640.0,[]
34,EGLD,EGLD,Elrond eGold,,elrond-egold,225.38,32.0,51.0,-1.27,-1.58,17.72,64.46,246.75,57.01,2380.99,1127.64,1127.64,920.14,829.9,260673872.0,true,2020-09-03 08:10:00,19234370.0,1632745846,2020-09-23 10:15:00,true,true,,elrond-egold,,4335073086.0,[]
35,XMR,XMR,Monero,,monero,240.57,34.0,68.0,-1.0,2.16,3.92,-21.38,18.69,3.2800000000000002,164.95,108.85,2422.02,9644.54,49.03,272822784.0,true,2014-05-21 01:45:00,18000692.0,1632745847,,true,true,1970-01-01 00:00:29.392700000,monero,,4330361672.0,"[0, 1, 5]"
36,CAKE,CAKE,PancakeSwap,,pancakeswap,19.02,33.0,57.0,-1.3900000000000001,1.87,-2.87,-24.45,52.35,11.12,2631.97,2631.97,2631.97,1684.39,3415.72,383183424.0,true,2020-09-29 11:50:00,225566849.0,1632745846,,true,true,,pancakeswap,,4289830334.0,"[3, 14, 16]"
37,OKB,OKB,OKB,,okb,14.68,37.0,34.0,-1.75,4.51,-13.74,-29.2,50.0,1.6,137.03,917.56,857.97,888.14,98.51,755240320.0,true,2018-04-17 10:27:11,282838290.0,1632745846,,true,true,1970-01-01 00:00:03.357200000,okb,,4151104447.0,"[0, 6]"
38,BCHA,BCHA,Bitcoin Cash ABC,,bitcoin-cash-abc-2,217.89,42.0,1873.0,-0.1,12.93,4.52,168.92,759.69,630.2,843.9,843.9,843.9,989.48,1277.79,85201.0,true,2020-11-16 11:55:00,18572921.0,1632745786,,true,true,,bitcoin-cash-abc-2,,4046827755.0,[19]
39,CRO2,CRO,Crypto.com Coin,,crypto-com-coin,0.15920128831299102,35.0,201.0,-0.88,0.6000000000000001,-5.41,4.64,59.14,-25.39,4.82,909.36,909.36,688.19,172.3,30633846.0,true,2018-12-14 13:00:00,25263013692.0,1632745786,,true,true,1970-01-01 00:00:10.112800000,crypto.com-coin,,4021904326.0,"[6, 15]"
40,AXS,AXS,Axie Infinity,,axie-infinity,65.65,39.0,43.0,0.8200000000000001,3.39,20.66,-7.72,1702.89,1108.07,46547.62,46547.6,46547.6,40548.8,11273.83,507982272.0,true,2020-11-04 13:05:00,59994000.0,1632745846,2020-11-04 23:59:00,true,true,,axie-infinity,,3938762084.0,"[15, 17]"
41,AAVE,AAVE,Aave,,aave-token,292.13,38.0,42.0,-1.18,-0.91,-2.66,-20.51,48.2,-18.18,538.53,538.53,538.53,483.6,262.07,499047904.0,true,2020-10-05 11:00:00,13188331.0,1632745846,,true,true,,aave-token,,3852683396.0,"[3, 15]"
42,QNT,QNT,Quant,,quant-network,315.82,41.0,129.0,0.96,3.42,14.09,64.16,286.24,659.45,3521.54,24434.1,64448.6,60348.9,2578.02,96061592.0,true,2018-06-30 10:30:00,12072738.0,1632745846,2018-04-30 00:00:00,true,true,1970-01-01 00:00:15.639600000,quant,,3812837468.0,[15]
