symbol,name,ccu_slug,market_cap_rank
GFCC,GOLD FINCH,gold-finch,256
MNGO,Mango Markets,mango-markets,183
COTI,Coti,coti,150
CKB,Nervos Network,nervos-network,164
ELF,aelf,aelf,161
INJ,Injective Protocol,injective-protocol,171
FRAX,Frax,frax,168
RPL,Rocket Pool,rocket-pool,175
WRX,WazirX,wazirx,169
BAKE,BakerySwap,bakeryswap,185
ILV,Illuvium,illuvium,170
XVG,Verge,verge,176
VTHO,VeThor Token,vethor-token,173
PUNDIX,Pundi X [new],pundix-new,165
VLX2,Velas,velas,167
PAXG,PAX Gold,pax-gold,181
MED,Medibloc,medibloc,179
SDN2,Shiden Network,shiden,188
WIN4,WINkLink,wink2,182
KNCL,Kyber Network Crystal Legacy,kyber-network-crystal-legacy,186
ORC4,Orbit Chain,orbit-chain,180
FX,Function X,function-x,426
BCD,Bitcoin Diamond,bitcoin-diamond,184
STORM,Storm,storm,189
CVC,Civic,civic,187
GT2,Gatechain Token,gatechaintoken,192
ARDR,Ardor,ardor,190
RGT2,Rari Governance Token,rari-governance-token,216
PROM,Prometeus,prometeus,201
EWT,Energy Web Token,energy-web-token,191
SUSHI,Sushi,sushi,193
TNDR,Thunder Token,thunder-token,
RLC,iExec RLC,rlc,195
FIDA,Bonfida,bonfida,199
TRIBE,Tribe,tribe,196
OGN,Origin Protocol,origin-protocol,198
ASD,AscendEX Token,bitmax-token,200
BAND,Band Protocol,band-protocol,197
MBOX2,Mobox,mobox,213
TON3,Tokamak Network,tokamak-network,202
KDA,Kadena,kadena,209
SNT,Status,status,203
STMX2,StormX,stormx,204
XCH,Chia,chia-network,207
KNC,Kyber Network Crystal,kyber-network,206
XVS,Venus,venus,215
HALO,Halo Platform,halo-platform,208
ROSE,Oasis Network,oasis-rose-garden,214
STRAX,Stratis,stratis,205
ALUSD,Alchemix USD,alchemix-usd,212
TITAN,Titanswap,titanswap,210
CTSI,Cartesi,cartesi,217
MAID,MaidSafeCoin,maidsafecoin,221
REEF,Reef.Finance,reef-finance,220
ORN,Orion Protocol,orion,211
ORBS,Orbs,orbs,219
ZB,ZB,zb-token,310
MIR2,Mirror Protocol,mirror-protocol,222
BFC3,Bifrost,bifrost2,223
REP,Augur,augur,218
SUSD,sUSD,susd,224
PEAK,PEAKDEFI,marketpeak,225
TON5,TON Crystal,ton-crystal,226
KEEP,Keep Network,keep-network,230
IDEX,IDEX,idex,270
MLN,Enzyme,melon,229
HIVE,Hive Token,hive-blockchain,227
CUNI,Compound Uniswap,compound-uniswap,232
NKN,NKN,nkn,231
FUN,FUNToken,funfair,236
ANKR,Ankr Network,ankr,233
DVPN,Sentinel,sentinel-new,238
AGLD,Adventure Gold,adventure-gold,235
ACH4,Alchemy Pay,alchemy-pay,239
ARK,Ark,ark,237
DERO,DERO,dero,228
ALBT,AllianceBlock,allianceblock,234
CSPR,Casper,casper,252
SYS,Syscoin,syscoin,247
STEEM,Steem,steem,240
CVXCRV,Convex CRV,convex-crv,254
NU,NuCypher,nucypher,241
EPS2,Ellipsis,ellipsis,250
OXT,Orchid Protocol,orchid,243
DAWN,Dawn Protocol,dawn-protocol,242
PHA,Phala Network,phala-network,251
TKO,Tokocrypto,tokocrypto,244
ATLAS2,Star Atlas,star-atlas-token,248
TLOS,Telos,telos,253
ANT,Aragon,aragon,249
MTL,Metal,metal,245
TOMO,TomoChain,tomochain,246
ALICE,My Neighbor Alice,my-neighbor-alice,260
SAPP,Sapphire,sapphire,255
BANANA2,ApeSwap Finance,apeswap,288
DODO,DODO Token,dodo-token,257
BADGER,Badger DAO Governance Token,badger-dao,258
VXC,VINX COIN,vinx-coin,
ALCX,Alchemix,alchemix-finance,421
GUSD,Gemini Dollar,gemini-dollar,263
BTCST,Bitcoin Standard Hashrate Token,bitcoin-standard-hashrate-token,264
C20,Crypto20,c20,262
RLY,Rally,rally-token,265
NEAR2,Near Protocol IOU,NEAR,
ZCX,Unizen,unizen,268
UTK,UTRUST,utrust,261
UOS,Ultra,ultra,266
QKC,QuarkChain,quarkchain,329
LEND,Aave [old],aave,273
XYO,XYO Network,xyo,267
RIF,RIF Token,rsk-infrastructure-framework,278
ARTR,Artery,artery,272
MOF,Molecular Future,molecular-future,274
TRAC,OriginTrail,origintrail,259
RAD,Radicle,rad-lending,280
RNDR,Render Token,render-token,309
TVK,Terra Virtua Kolekt,terra-virtua,275
AVA,Travala.com,travala,269
TRIG,Triggers,triggers,
DDX,DerivaDAO,dietbitcoin,304
WAN,Wanchain,wanchain,277
YFII,DFI.money,yearn-finance-ii,279
WSCRT,Secret Network Token,secret-erc20,276
POLIS2,Star Atlas DAO,polis-token,289
ATA,Automata Network,automata-network,282
SLP,Smooth Love Potion,small-love-potion,285
XAUT,Tether Gold,tether-gold,281
TLM,Alien Worlds Trilium,alien-worlds-trilium,287
DPI,DeFi Pulse Index,defi-pulse-index,284
KSP,KLAYswap Protocol,klayswap-protocol,290
BAL3,Balancer,balancer,291
JST,JUST,just,283
STRK,Strike,strike,292
CLV2,Clover Finance,clover-finance,305
SPELL,Spell Token,spell-token,298
MATH,MATH,math-wallet,286
ASTX,ASTOX TOKEN,astox-token,293
USDP,USDP Stablecoin,usdp,294
HXRO,Hxro,hxro,296
10SET,Tenset,tenset,295
POWR,Power Ledger,power-ledger,299
VRA,Verasity,verasity,300
BORA,BORA,bora,297
SENT,Sentinel (OLD),sentinel,357
REQ,Request Network,request,302
CORE,cVault.finance,cvault-finance,314
IRIS,IRIS Network,irisnet,303
SBTC3,sBTC,sbtc,306
API3,API3 Token,api3-token,315
SUN,Sun Token,sun-trx,308
IQ,Everipedia,everipedia,307
RKN,Rakon,rakon,322
KIRO,Kirobo,kirobo,313
UQC,Uquid Coin,uquid-coin,319
SLIM,Solanium,solanium,317
KMD,Komodo,komodo,323
PYR,Vulcan Forged,pyr,301
KLV,Klever,klever,312
HTR,Hathor,hathor,311
CFG,Centrifuge,centrifuge,327
DKA,dKargo,dkargo,318
LDO,Lido DAO Token,lido-dao,316
BTS,BitShares,bitshares,320
ANY3,Anyswap,anyswap,345
OXY4,Oxygen,oxygen,325
KIN,Kin,kin,326
MGC,MergeCoin,MGC,
POLS,Polkastarter,polkastarter,328
CHR,Chromia,chromia,324
BDX,Beldex,beldex,330
KAI,KardiaChain,kardiachain,332
CVP,PowerPool,powerpool,464
AMPL,Ampleforth,ampleforth,336
DVI,Dvision Network,dvision-network,333
FORTH,Ampleforth Governance Token,ampleforth-governance-token,340
RARE2,SuperRare,superrare,334
FARM2,Harvest Finance,harvest-finance,337
SNL,Sport and Leisure,sport-and-leisure,331
TPT,TokenPocket,tokenpocket,338
ELG,Escoin Token,escoin-token,341
BOND2,BarnBridge,barnbridge,339
XOR2,Sora,sora,348
PAT,Bitnation,bitnation,335
LOC,LockTrip,locktrip,344
PLA2,PlayChip,playchip,342
SFP,SafePal,safepal,349
BSC2,BOONSCoin,boonscoin,
WNXM,Wrapped NXM,wrapped-nxm,350
GTC6,Gitcoin,gitcoin,347
HEGIC,Hegic Token,hegic-token,363
EUM,Elitium,elitium,351
CDT,Blox,blox,387
SWAP3,TrustSwap,trustswap,359
CTK,CertiK,certik,366
RBTC,RSK Smart Bitcoin,rsk-smart-bitcoin,353
MONA,MonaCoin,monacoin,354
DAO,DAO Maker,dao-maker,365
PNK,Kleros,kleros,361
UFO5,UFO Gaming,ufo-gaming,377
BSCPAD,BSCPAD,bscpad,382
ABBC,ABBC COIN,abbc-coin,346
DNT,district0x,district0x,364
ICE3,Popsicle Finance,popsicle-finance,
VAI,VAI,viola-ai,343
TRB,Tellor,tellor,367
LOOM,Loom Network,loom-network,355
AETH2,ankrETH,ankreth,368
ROOK2,KeeperDAO,keeperdao,352
ZKS,ZKSwap,zkswap,356
PRE,Presearch,presearch,373
MFT,Hifi Finance,mainframe,358
INST2,Instadapp,instadapp,360
ELA,Elastos,elastos,369
STEP3,Step Finance,step-finance,437
MRPH,Morpheus Network,morpheus-network,374
PSG,Paris Saint-Germain Fan Token,paris-saint-germain-fan-token,383
WILD2,Wilder World,wilder-world,362
LED3,Ledgis,edgis,372
GHST,Aavegotchi,aavegotchi,375
CUSD,Celo Dollar,cusd-currency,385
MCO,Crypto.com,crypto.com,371
CREAM,Cream Finance,cream-finance,370
EXRD,e-Radix,eXRD,381
OM,MANTRA DAO,mantra-dao,396
DIVI,Divi Project,divi,380
BZRX,bZx Protocol,bzx-protocol,398
LTO,LTO Network,lto-network,376
STAKE,xDai,xdai,386
YVAULT-LP-YCURVE,yUSD,yusd,379
DATA,Streamr,streamr,390
META2,Metadium,metadium,384
FEG,FEG Token,feg-token,378
BIFI2,Beefy Finance,beefy-finance,402
AKRO,Akropolis,akropolis,404
GAS,Gas,gas,388
ARPA,ARPA CHAIN,arpa-chain,395
BEL,Bella Protocol,bella-protocol,400
FRONT,Frontier,frontier,415
SUKU,SUKU,suku,392
PDEX,Polkadex,polkadex,422
CRE2,Carry Protocol,carry,394
PAC,PAC Global,pac-global,389
AION,Aion,aion,391
XHV,Haven Protocol,haven-protocol,408
LTX,Lattice Token,LTX,419
FXS,Frax Share,flexstay,399
NRG,Energi,energi,397
ERN,Ethernity,ethernity,406
DUSK,Dusk Network,dusk-network,462
BASIC,BASIC,basic,1981
SLRS2,Solrise,solrise,410
BTM,Bytom,bytom,403
FLUX4,Flux,zelcash,407
ECHO,Echo,echo,409
KAR,Karura,karura,401
EDG2,Edgeware,edgeware,450
QC,QCash,qcash,411
WOZX,Efforce,efforce,405
DG,Decentral Games,decentral-games,393
RARI,Rarible,rarible,438
WOOP,WOONKLY POWER,woonkly-power,423
NMX,Nominex Token,nominex-token,
STRONG,Strong,strong,417
CHESS3,Tranchess,tranchess,432
FIRO,Firo,firo,425
WTC,Waltonchain,walton,429
SHR,ShareToken,sharetoken,412
REV4,RChain,rchain,414
TCT,TokenClub,tokenclub,649
SOUL2,Phantasma Protocol,phantasma,420
FLM,Flamingo Finance,flamingo-finance,424
BLZL,Bluzelle,bluzelle,428
SDAO,SingularityDAO,singularitydao,413
DIA,DIA,dia,433
UPP,Sentinel Protocol,sentinel-protocol,1504
GMT3,GoMining Token,gomining-token,436
GRN,GreenPower,greenpower,431
PRQ,Parsiq,parsiq,448
NUSD1,nUSD,nusd,
MTV2,MultiVAC,multivac,430
RDD,ReddCoin,reddcoin,435
NFTX,NFTX,nftx,442
VID,VideoCoin,videocoin,427
LCX2,LCX,lcx,434
SUPER3,SuperFarm,superfarm,441
STX,Stox,stox,1718
TRU,TrueFi,trusttoken,444
FIO,FIO Protocol,fio-protocol,449
KP3R,Keep3rV1,keep3rv1,443
SFUND,Seedify.fund,seedify-fund,470
HBC2,HBTC Captain Token,hbtc-captain-token,445
VERI,Veritaseum,veritaseum,485
COS,Contentos,contentos,439
CVCOIN,CVCoin,cvcoin,1406
GRS,Groestlcoin,groestlcoin,446
PROPY,Propy,propy,454
BAR,FC Barcelona Fan Token,fc-barcelona-fan-token,447
DEGO,Dego Finance,dego-finance,460
XRL,Rialto,rialto,416
SICA,SignatureChain,signaturechain,457
APL,Apollo Currency,apollo-currency,455
ADX,AdEx,adx-net,453
CNX,Cryptonex,cryptonex,
SNM,SONM,sonm,456
PCX2,ChainX,chainx,451
VBIT,Valobit,valobit,475
MXC,MXC,machine-xchange-coin,458
RFR,Refereum,refereum,463
XCP,Counterparty,counterparty,467
SEN,Consensus,consensus,465
YLD,YIELD App Utility Token,yield-app,461
ARCH,Archer DAO Governance Token,arch,466
AUCTION,Bounce Token,bounce-token,452
SFI,saffron.finance,saffron-finance,471
BEAM,BEAM,beam,469
BTU2,BTU Protocol,btu-protocol,477
CXO,CargoX,cargox,459
DRGN,Dragonchain,dragonchain,476
EVN3,Evolution Finance,evolution-finance,472
ZNN,Zenon,zenon,480
NFT3,APENFT,apenft,468
BABY2,BabySwap,babyswap,483
FO,FIBOS,fibos,474
GLCH,Glitch,glitch,487
XSGD,XSGD,straits-xsgd,493
AXEL,AXEL,axel,478
SBD,Steem Dollars,steem-dollars,489
BURST,Burst,burst,479
RFOX,RedFOX Labs,redfox-labs,481
BHAO,Bithao,bithao,440
BCN,Bytecoin,bytecoin-bcn,271
MET,Metronome,metronome,494
SLT2,Smartlands,smartlands,492
NXS,Nexus,nexus,498
DICE,Etheroll,etheroll,
XAVA,Avalaunch,avalaunch,507
ONE,Menlo One,menlo-one,
DLPN,Dolphin Token,dolphin-token,488
DGD,DigixDAO,digixdao,497
SERO,SERO,super-zero-protocol,484
CRU2,CRUST,crust,514
GBCR,Gold BCR,gold-bcr,496
BMX,BitMart Token,bitmart-token,482
OOE,OpenOcean,openocean,506
MARO,Maro,maro,490
EURT,Tether EUR,tether-eur,500
SAFE,SafeCoin,safecoin,512
CUDOS,CUDOS Token,cudos-token,503
TNT,Tierion,tierion,501
PLTC,PlatonCoin,platoncoin,586
NULS,Nuls,nuls,499
SPS2,Splintershards,splintershards,515
PMON,Polkamon,polkamon,504
STAX,StableX Token,stablex-token,
BOSON,Boson Protocol,boson-protocol,521
XPR2,Proton,proton,495
PIVX,PIVX,pivx,505
KOBE,Shabu Shabu,shabu-shabu,473
DFA,DeFine,define,509
DEXE,DeXe,dexe,518
MITH,Mithril,mithril,510
SAFE2,Safe,safe,533
ANJ,Aragon Court,aragon-court,516
FCT2,FirmaChain,firmachain,513
EXG,EXGold,exgold,570
PAID,PAID Network,paid-network,523
GXC,GXChain,gxchain,519
EFI,Efinity,efinity,517
LA,LATOKEN,latoken,511
PERL,Perlin,perlin,525
QQQ,Poseidon Network,poseidon-network,538
ASK2,Permission Coin,permission-coin,520
KARMA2,KARMA,karma-eos,527
UNFI,Unifi Protocol DAO,unifi-protocol-dao,530
VITE,VITE,vite,528
AMO,AMO Coin,amo-coin,522
QI5,BENQI,benqi,531
SHX,Stronghold Token,stronghold-token,508
SPACE5,Spacelens,spacelens,524
VIDT,V-ID,v-id,557
SAFETY,Safety Token,safetytoken,536
YLDY,Yieldly,yieldly,532
SOC2,Soda Coin,soda-coin,535
GNY,GNY,gny,486
KEY,Selfkey,selfkey,546
CTXC,Cortex,cortex,539
HYDRA,Hydra Chain,hydra-chain,540
EURS,STASIS EURS,stasis-euro,537
PART,Particl,particl,568
ASTA,ASTA,asta,534
SPARTA,Spartan Protocol,spartan-protocol,541
PNG,Pangolin,pangolin,548
PPT,Populous,populous,526
SPI2,Shopping.io,shopping-io,545
100x,100xCoin,100xcoin,1083
AST,AirSwap,airswap,567
VSYS,V Systems,v-systems,542
CET,CoinEx Token,coinex-token,551
REVV,REVV,revv,549
XXP,XX Platform,xx-platform,547
HAI,HackenAI,hackenai,554
GET,GET Protocol,get-protocol,552
DX,DxChain,dxchain-token,556
QWLA,Qawalla Token,qawalla-token,559
GIG3,Krios,krios,560
HIBS,Hiblocks,hiblocks,543
BMON,Binamon,binamon,555
WING2,Wing,wing,562
FXF,Finxflo,finxflo,558
RDN,Raiden Network,raiden-network-token,563
HOGE,Hoge Finance,hoge-finance,550
TCR2,TecraCoin,tecracoin,566
FSN,Fusion,fusion,553
VEE,BLOCKv,blockv,577
STPT,Standard Tokenization Protocol,standard-tokenization-protocol,561
BTCD,BitcoinDark,bitcoindark,
MBL2,MovieBloc,moviebloc,491
GO,GoChain,gochain,574
UFT,UniLend,unilend,611
APY2,APY.Finance,apy-finance,571
OXEN,Oxen,oxen,569
ACM,AC Milan Fan Token,gcox,585
STC4,Student Coin,student-coin,575
HUNT,HUNT,hunt,576
WPP,WPP,wpp-token,565
QSP,Quantstamp,quantstamp,590
UMB,Umbrella Network,umbrella-network,601
ELECT,ELECT,elect,579
ID,Everest,everest,572
PNT,pNetwork,pnetwork,587
ZOOM,CoinZoom Token,coinzoom,617
FLX,Reflexer Ungovernance Token,flex-work,580
ASM,Assemble Protocol,assemble-protocol,626
SPND,Spendcoin,spendcoin,687
AE,Aeternity,aeternity,573
ATM2,Atletico De Madrid Fan Token,atletico-de-madrid-fan-token,589
FWT,Freeway Token,freeway-token,582
ZASH,ZIMBOCASH,zimbocash,584
PKF,PolkaFoundry,polkafoundry,596
GAL2,Galatasaray Fan Token,galatasaray-fan-token,592
HBT,Hubii Network,hubii-network,502
SOLVE,Solve,solve,605
TORN,TORN Token,torn-token,602
AIOZ,AIOZ Network,aioz-network,578
SRK,Sparkpoint,sparkpoint,597
BOA,Bosagora,bosagora,581
PUSH,Ethereum Push Notification Service,epns,599
VTC,Vertcoin,vertcoin,583
ARIA20,Arianee,arianee-protocol,591
MER2,Mercurial Finance,mercurial-finance,593
USDK,USDK,usdk,595
URUS,URUS,urus,603
SOCKS,Unisocks,unisocks,619
TULIP,SolFarm,solfarm,609
ALU,Altura,altura,608
VAL3,Validity,validity,594
ZANO,Zano,zano,613
HC,HyperCash,hypercash,600
CND,Cindicator,cindicator,604
FARA,FaraLand,faraland,606
MASS,Massnet,mass.cloud,598
AIR,AirToken,AIR,
XED,Exeedme,exeedme,610
ZPAY,ZoidPay,zoidpay,614
CUBE,Somnium Space CUBEs,somnium-space-cubes,607
GTO,Gifto,gifto,621
BUX2,BUX Platform Token,bux-platform-token,630
WXT,Wirex Token,wirex-token,634
PIB,PIBBLE,pibble,616
ALPACA,Alpaca,alpaca,620
KAN,BitKan,bitkan,612
GRIN,Grin,grin,618
COVAL,Circuits of Value,circuits-of-value,644
SPACE4,Space Token,space-token,615
NAV,NAV Coin,nav-coin,640
ICN,Iconomi,iconomi,
WICC,WaykiChain,waykichain,627
PRS,PressOne,pressone,623
HOTCROSS,Hot Cross,hot-cross,624
NIF,Unifty,unifty,628
CARDS,Cardstarter,cardstarter,625
MDT,Measurable Data Token,measurable-data-token,635
DOCK,dock.io,dock,633
LIKE,LikeCoin,likecoin,
PHX,Red Pulse Phoenix,red-pulse,622
YFIII2,Yearfi.Finance,yearfi.finance,
BAX,BABB,babb,636
AFIN,Asian Fintech,asian-fintech,642
EOSC,EOS Force,eos-force,650
QSH,QASH,qash,639
HPT,Huobi Pool Token,huobi-pool-token,629
COCOS,Cocos-BCX,cocos-bcx,638
DXD,DXdao,dxdao,631
SKY,Skycoin,skycoin,651
OBC,OBLICHAIN,oblichain,641
NEST,NEST Protocol,nest-protocol,646
POOLZ,Poolz Finance,poolz-finance,654
SNTVT,Sentivate,sentivate,643
DEP,DEAPcoin,deapcoin,645
BMI,Bridge Mutual,bridge-mutual,632
HEZ,Hermez Network,hermez-network,647
IHF,Invictus Hyperion Fund,invictus-hyperion-fund,648
SWTH,Switcheo,switcheo,655
WEST,Waves Enterprise,waves-enterprise,658
RBC,Rubic,robocoin,657
GOC,GoCrypto,gocrypto-token,637
QTCON,Quiztok,quiztok,652
GOVI,Govi,govi,660
JGN,Juggernaut,juggernaut,665
MSB,Misbloc,misbloc,653
CRON,CRYPTOCEAN,cryptocean,659
RING,Darwinia Network,darwinia-network,667
INDC,Nano Dogecoin,nano-dogecoin,662
TIME,Chrono.tech,chrono.tech,663
XMON,XMON,xmon,704
NEX,Nash,nash-exchange,672
YAMV2,YAMv2,yam-v2,664
NMC,Namecoin,namecoin,671
PAI2,Project Pai,project-pai,656
EM2,Eminer,eminer,692
NAS,Nebulas Token,nebulas-token,673
WOW,Wownero,wownero,669
FOR3,ForTube,the-force-protocol,676
WABI,Tael,tael,675
DAFI,Dafi Protocol,dafi-protocol,732
IPAD,Infinity Pad,infinity-pad,670
ILK,INLOCK,inlock,668
SNOB,Snowball,snowball-token,680
NEBL,Neblio,neblio,678
EL2,Elysia,elysia,666
NFTB,NFTb,nftb,741
PPC,Peercoin,peercoin,2485
LBC,LBRY Credits,library-credit,674
GAME,GameCredits,gamecredits,677
GBYTE,Obyte,obyte,684
MEDX,Medibloc,medx,682
DIP,Etherisc,etherisc,681
DTR,Dynamic Trading Rights,dynamic-trading-rights,
BMC3,BountyMarketCap,bountymarketcap,689
EMRX,Emirex Token,emirex-token,686
DEC,Decentr,decentr,2689
XSN,Stakenet,stakenet,701
ARDX,ArdCoin,ardcoin,727
POLK,Polkamarkets,polkamarkets,710
XCUR,Curate,curate,688
CAPS,Ternoa,ternoa,712
SALT,SALT,salt,685
FOX4,FOX Token,fox-token,699
TENA,TENA,tena,693
PPAY,Plasma Finance,plasmapay,709
GEL,Gelato Token,gelato-token,696
ARMOR,Armor,armor,694
SLS,SaluS,salus,695
NBR,Nióbio Cash,niobio-cash,2270
HNB,HashNet Biteco,hashnet-biteco,2619
MIX3,MIXMARVEL,mixmarvel,690
IGNIS,Ignis,ignis,700
OBSR,Observer,observer,691
TEMCO,Temco,temco,697
ZCN,0Chain,0chain,706
BZ,Bit-Z Token,bit-z-token,702
AOA,Aurora,aurora,717
LAYER,UniLayer,unilayer,719
SIX,SIX,six,711
COIN4,CoinDeFi,coin-defi,713
KONO,Konomi Network,konomi-network,714
RSTR,Ondori,ondori,707
GDC,Global Digital Content,global-digital-content,1580
EVZ2,Electric Vehicle Zone,electric-vehicle-zone,
AVINOC,AVINOC,avinoc,708
GMB2,GAMB,gamb,718
KDAG,King DAG,king-dag,703
STACK,Dex Stack Finance,dex-stack-finance,
DBC,DeepBrain Chain,deepbrain-chain,743
HYN,Hyperion,hyperion,1917
NOIA,Syntropy,noia-network,321
RBY,Rubycoin,rubycoin,679
VOX,Voxels,voxels,
PBR,PolkaBridge,polkabridge,698
BIDR,Binance IDR,binance-idr,721
CIV3,Civilization,civilization,705
DON,Don-Key,donationcoin,683
ASR2,AS Roma Fan Token,as-roma-fan-token,723
